Rho	U	E	P
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
1	0	2.5	1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
